new_name,merged_from,population,area_km2,landmarks,specialties,notes
Nghi Dương,Du Lễ; Kiến Quốc; Ngũ Phúc,25660,19.48,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Hưng,Chiến Thắng; An Thái; An Thọ,25535,20.23,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Khánh,Mỹ Đức; Tân Viên; 5 thôn của Thái Sơn,33936,24.16,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Quang,Quang Trung; Quang Hưng; Quốc Tuấn,29091,21.4,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Trường,Bát Trang; Trường Thành; Trường Thọ,30256,25.54,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Lão, An Tiến; An Thắng; Tân Dân; An Lão; Trường Sơn,47189,26.39,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Vĩnh Bảo,Vĩnh Bảo; Tân Hưng; Tân Liên; Vĩnh Hưng,45332,30.6,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nguyễn Bỉnh Khiêm,Trần Dương; Hòa Bình; Lý Học,24575,26.37,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Vĩnh Am,Liên Am; Tam Cường; Cao Minh,34562,27.34,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Vĩnh Hải, Vĩnh Hải; Tiền Phong,37574,32.21,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
 Vĩnh Hòa,Vĩnh Hòa; Hùng Tiến,28176,21.66,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
 Vĩnh Thịnh,Thắng Thủy; Trung Lập; Việt Tiến,26382,21.5,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Vĩnh Thuận,Vĩnh An; Giang Biên; Dũng Tiến,28879,23.5,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Quyết Thắng,Đại Thắng; Tiên Cường; Tự Cường,22560,22.15,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Tiên Lãng,Khởi Nghĩa; Quyết Tiến; Tiên Thanh; Tiên Lãng,40446,27.89,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Tân Minh,Cấp Tiến; Kiến Thiết; Đoàn Lập; Tân Minh,36598,33.0,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Tiên Minh, Tân Minh; Tiên Minh; Tiên Thắng,36236,36.48,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Chấn Hưng, Bắc Hưng; Nam Hồng; Đông Hưng; Tây Hưng,26092,32.11,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Biên,An Dương; Vĩnh Niệm; An Biên (một phần); Trần Nguyên Hãn (một phần),116091,6.56,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hùng Thắng,Hùng Thắng; Vinh Quang,26877,43.59,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hải Dương,Nhị Châu; Ngọc Châu; Quang Trung; Trần Hưng Đạo,51522,6.51,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
 Lê Thanh Nghị,Lê Thanh Nghị; Tân Bình; Thanh Bình; Trần Phú (một phần),81500,8.04,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Việt Hòa,Việt Hòa; Tứ Minh (một phần); Cao An; Lai Cách (Cẩm Giàng),31001,17.02,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Thành Đông,Cẩm Thượng; Bình Hàn; Nguyễn Trãi; An Thượng,50307,12.22,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nam Đồng,"Nam Đồng,;Tiền Tiến",24900,19.67,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Tân Hưng,Hải Tân; Tân Hưng; Ngọc Sơn; Trần Phú (một phần),38794,14.18,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Thạch Khôi,Thạch Khôi; Gia Xuyên; Liên Hồng; Thống Nhất (một phần),34432,19.94,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Tứ Minh,Cẩm Đoài; Tứ Minh (một phần); Lai Cách (một phần),30416,14.77,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Ái Quốc, Ái Quốc; Quyết Thắng; Hồng Lạc (một phần),24736,17.6,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Chu Văn An,Sao Đỏ; Văn An; Chí Minh; Thái Học; Cộng Hòa (một phần); Văn Đức (một phần),56251,40.86,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Chí Linh,Phả Lại; Cổ Thành; Nhân Huệ,31983,26.79,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Trần Hưng Đạo,Lê Lợi; Hưng Đạo; Cộng Hòa (phần lớn),35932,66.89,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nguyễn Trãi,"Bến Tắm, Bắc An, Hoàng Hoa Thám",16098,76.28,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
 Trần Nhân Tông,Hoàng Tân; Hoàng Tiến; Văn Đức (một phần),27053,39.97,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Lê Đại Hành,An Lạc; Đồng Lạc; Tân Dân,24638,31.62,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Kinh Môn,An Lưu; Hiệp An; Long Xuyên,24948,11.47,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nguyễn Đại Năng,Thái Thịnh; Hiến Thành; Minh Hòa,29083,17.4,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Trần Liễu,An Phụ; Hiệp Hòa; Thượng Quận (một phần),26696,23.87,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Bắc An Phụ,Thất Hùng; Bạch Đằng; Lê Ninh; Văn Đức (một phần),22780,26.1,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Phạm Sư Mệnh,Phạm Thái; An Sinh; Hiệp Sơn,24919,22.34,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nhị Chiểu,Minh Tân; Duy Tân; Phú Thứ; Tân Dân,43799,39.28,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nam An Phụ,Quang Thành; Lạc Long; Thăng Long; Tuấn Việt (một phần),27841,25.9,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nam Sách,Nam Sách; Đồng Lạc; Hồng Phong,36758,19.75,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Thái Tân, Thái Tân; Minh Tân; An Sơn,20334,20.73,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hợp Tiến,Hợp Tiến; Nam Tân; Nam Hưng,20740,17.5,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Trần Phú,Quốc Tuấn; Trần Phú; Hiệp Cát,35937,24.99,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Phú,An Phú; An Bình; Cộng Hòa (một phần),35121,27.25,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Mao Điền, Tân Trường; Cẩm Đông; Phúc Điền,43333,24.37,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Cẩm Giàng,Lương Điền; Ngọc Liên; Cẩm Hưng; Phúc Điền (một phần),34025,23.43,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Cẩm Giang,Cẩm Giang; Định Sơn; Cẩm Hoàng,64523,26.64,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
 Tuệ Tĩnh,Đức Chính; Cẩm Vũ; Cẩm Văn,27202,17.78,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Phú Thái,Kim Xuyên; Phú Thái; Kim Anh; Kim Liên; Thượng Quận (một phần),46234,28.89,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Lai Khê,Lai Khê; Vũ Dũng; Cộng Hòa (một phần); Tuấn Việt (một phần); Thanh An (một phần); Cẩm Việt (một phần),42875,30.07,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
An Thành,Kim Tân; Ngũ Phúc; Kim Đính,28785,23.66,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Kim Thành,"Đồng Cẩm; Đại Đức; Tam Kỳ; Hòa Bình (một phần), Thanh Quang (một phần)",42915,33.79,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Kẻ Sặt,Kẻ Sặt; Vĩnh Hưng; Hùng Thắng; Vĩnh Hồng,39554,24.67,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Bình Giang, Long Xuyên; Tân Việt; Hồng Khê; Cổ Bì; Vĩnh Hồng (một phần),32925,26.01,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Đường An,Thúc Kháng;Thái Minh (một phần); Tân Hồng (một phần); Thái Dương (một phần); Thái Hòa (một phần),34341,25.53,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Thượng Hồng,Bình Xuyên; Thái Hòa (một phần); Thái Dương (một phần); Tân Hồng (một phần); Thái Minh (một phần); Thúc Kháng (một phần); Đoàn Tùng; Thanh Tùng ,24584,24.01,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Thanh Hà,Thanh Hà; Thanh Tân; Thanh Sơn; Thanh Quang,36173,25.9,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
 Hà Tây,Tân An; An Phượng; Thanh Hải,34187,24.41,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hà Bắc,Tân Việt; Cẩm Việt; Hồng Lạc,36429,26.29,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hà Nam, Thanh Xuân; Thanh Lang; Liên Mạc; Thanh An; Hòa Bình,27800,27.78,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hà Đông,Thanh Hồng; Vĩnh Cường; Thanh Quang,33499,33.15,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Thanh Miện,Thanh Miện; Cao Thắng; Ngũ Hùng; Tứ Cường,45388,33.47,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Bắc Thanh Miện,Hồng Quang; Lam Sơn; Lê Hồng,27227,25.27,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hải Hưng,Ngô Quyền; Tân Trào; Đoàn Kết,27314,24.84,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nguyễn Lương Bằng,Phạm Kha; Đoàn Tùng; Thanh Tùng; Nhân Quyền; Cổ Bì ,33838,21.78,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nam Thanh Miện, Thanh Giang; Chi Lăng Nam; Hồng Phong; Chi Lăng Bắc,33230,23.99,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Ninh Giang, Ninh Giang; Vĩnh Hòa; Hồng Dụ; Hiệp Lực,39535,27.41,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Vĩnh Lại,Ứng Hòa; Tân Hương; Nghĩa An,38963,26.15,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Khúc Thừa Dụ,Bình Xuyên; Kiến Phúc; Hồng Phong,33784,28.79,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Tân An,Tân Phong; An Đức; Đức Phúc; Thống Kênh (một phần),27563,24.9,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Hồng Châu,Tân Quang; Văn Hội; Hưng Long,32742,29.59,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Tứ Kỳ,Tứ Kỳ; Quang Khải; Quang Phục; Minh Đức,37792,30.86,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Tân Kỳ,Tân Kỳ; Dân An; Kỳ Sơn; Đại Hợp; Hưng Đạo (một phần),38172,27.76,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Đại Sơn,"Bình Lãng; Đại Sơn; Hưng Đạo (Tứ Kỳ), Thanh Hải (Thanh Hà)",30161,22.99,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Chí Minh,An Thanh; Văn Tố; Chí Minh; Quang Thanh (một phần),32636,33.58,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
 Lạc Phượng,Lạc Phượng; Quang Trung; Tiên Động,28613,24.71,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Nguyên Giáp,"Hà Kỳ; Nguyên Giáp; Hà Thanh; Tiên Động (một phần), Minh Đức (một phần)",28127,27.21,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Gia Lộc,Gia Tiến; Gia Lộc (một phần); Gia Phúc (một phần); Yết Kiêu (một phần); Lê Lợi (một phần),46735,21.78,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Yết Kiêu,"Lê Lợi (một phần), Thống Nhất (một phần); Yết Kiêu (một phần)",33499,21.53,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Gia Phúc,Toàn Thắng; Hoàng Diệu; Hồng Hưng; Gia Lộc (một phần); Gia Phúc (một phần); Thống Kênh (một phần); Đoàn Thượng (một phần); Quang Đức (một phần),40682,31.79,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Trường Tân,Phạm Trấn; Nhật Quang; Thống Kênh (một phần); Đoàn Thượng (một phần); Quang Đức (một phần),31736,24.56,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Cát Hải,Cát Bà; Cát Hải; Phù Long; Đồng Bài; Hoàng Châu; Nghĩa Lộ; Văn Phong; Gia Luận; Hiền Hào; Trân Châu; Việt Hải; Xuân Đám,71211,286.98,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
Bạch Long Vỹ,Bạch Long Vỹ,686,3.07,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
,,0,,,,TODO: add up to 5 landmarks and 5 specialties (semi-colon separated); verify with sources
